"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jan 29 23:45:29 GMT 2024","Mon Jan 29 23:45:29 GMT 2024","1","Chrome desktop web","smoke.spec.ts","","","","Extra test TO FAIL just for Report 4 | @e2e",""
"passed","Mon Jan 29 23:45:21 GMT 2024","Mon Jan 29 23:45:21 GMT 2024","393","Chrome desktop web","Smoke suite","","","","Extra test TO PASS just for Report | @e2e",""
"skipped","Mon Jan 29 23:45:21 GMT 2024","Mon Jan 29 23:45:21 GMT 2024","0","Chrome desktop web","buyAProduct.spec.ts","","","","Buy a product | @e2e",""
"passed","Mon Jan 29 23:45:18 GMT 2024","Mon Jan 29 23:45:20 GMT 2024","2006","Chrome desktop web","Smoke suite","","","","Test just to pass 6| @e2e",""
"passed","Mon Jan 29 23:45:20 GMT 2024","Mon Jan 29 23:45:21 GMT 2024","491","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 7 | @e2e",""
"skipped","Mon Jan 29 23:45:29 GMT 2024","Mon Jan 29 23:45:29 GMT 2024","1","Chrome desktop web","smoke.spec.ts","","","","One more Extra test TO FAIL just for Report 5 | @e2e",""
"failed","Mon Jan 29 23:45:24 GMT 2024","Mon Jan 29 23:45:26 GMT 2024","2001","Chrome desktop web","Accounts suite","","","","Extra test TO FAIL just for Report 1 | @e2e",""
"skipped","Mon Jan 29 23:45:26 GMT 2024","Mon Jan 29 23:45:26 GMT 2024","1","Chrome desktop web","buyAProduct.spec.ts","","","","Extra test just for Report 2 | @e2e",""
"passed","Mon Jan 29 23:45:26 GMT 2024","Mon Jan 29 23:45:28 GMT 2024","1469","Chrome desktop web","Smoke suite","","","","Test just to pass | @e2e",""
"passed","Mon Jan 29 23:45:21 GMT 2024","Mon Jan 29 23:45:21 GMT 2024","407","Chrome desktop web","Smoke suite","","","","One more Extra test TO PASS just for Report 8 | @e2e",""
"failed","Mon Jan 29 23:45:28 GMT 2024","Mon Jan 29 23:45:29 GMT 2024","470","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 3 | @e2e",""
